nic_classification,year,state,sector,indicator,nic_code,nic_description,nic_type,value,unit
2008,2023-24,All India,Combined,Total Number of Persons Engaged,2599,Manufacture of Other Fabricated Metal Products N.e.c.,4-digit,339876,-
2008,2023-24,All India,Combined,Total Number of Persons Engaged,2710,"Manufacture of Electric Motors, Generators, Transformers and Electricity Distribution and Control Apparatus",4-digit,299335,-
2008,2023-24,All India,Combined,Total Number of Persons Engaged,2732,Manufacture of Other Electronic and Electric Wires and Cables,4-digit,111345,-
2008,2023-24,All India,Combined,Total Number of Persons Engaged,242,Manufacture of Basic Precious and Other Non-ferrous Metals,3-digit,197170,-
2008,2023-24,All India,Combined,Total Number of Persons Engaged,30,Manufacture of Other Transport Equipment,2-digit,413999,-
2008,2023-24,All India,Combined,Total Number of Persons Engaged,27,Manufacture of Electrical Equipment,2-digit,852747,-
2008,2023-24,All India,Combined,Total Number of Persons Engaged,2420,Manufacture of Basic Precious and Other Non-ferrous Metals,4-digit,197170,-
2008,2023-24,All India,Combined,Total Number of Workers,3030,Manufacture of Air and Spacecraft and Related Machinery,4-digit,23092,-
2008,2023-24,All India,Combined,Total Number of Workers,303,Manufacture of Air and Spacecraft and Related Machinery,3-digit,23092,-
2008,2023-24,All India,Combined,Total Number of Workers,2432,Casting of Non-ferrous Metals,4-digit,38253,-
2008,2023-24,All India,Combined,Total Number of Workers,2733,Manufacture of Wiring Devices,4-digit,48445,-
2008,2023-24,All India,Combined,Total Number of Workers,2732,Manufacture of Other Electronic and Electric Wires and Cables,4-digit,90951,-
2008,2023-24,All India,Combined,Total Number of Workers,2420,Manufacture of Basic Precious and Other Non-ferrous Metals,4-digit,157382,-
2008,2023-24,All India,Combined,Total Number of Workers,2710,"Manufacture of Electric Motors, Generators, Transformers and Electricity Distribution and Control Apparatus",4-digit,223298,-
2008,2023-24,All India,Combined,Total Number of Workers,2599,Manufacture of Other Fabricated Metal Products N.e.c.,4-digit,269632,-
2008,2023-24,All India,Combined,Total Number of Workers,2511,Manufacture of Structural Metal Products,4-digit,133488,-
2008,2023-24,All India,Combined,Total Number of Workers,27,Manufacture of Electrical Equipment,2-digit,672359,-
2008,2023-24,All India,Combined,Total Number of Workers,30,Manufacture of Other Transport Equipment,2-digit,332947,-
2008,2023-24,All India,Combined,Total Number of Workers,242,Manufacture of Basic Precious and Other Non-ferrous Metals,3-digit,157382,-
2008,2023-24,All India,Combined,Total Number of Workers,243,Casting of Metals,3-digit,286577,-
2008,2023-24,All India,Combined,Total Number of Workers,251,"Manufacture of Structural Metal Products, Tanks, Reservoirs and Steam Generators",3-digit,208028,-
2008,2023-24,All India,Combined,Total Number of Workers,259,Manufacture of Other Fabricated Metal Products; Metalworking Service Activities,3-digit,445590,-
2008,2023-24,All India,Combined,Total Number of Workers,271,"Manufacture of Electric Motors, Generators, Transformers and Electricity Distribution and Control Apparatus",3-digit,223298,-
2008,2023-24,All India,Combined,Total Number of Workers,273,Manufacture of Wiring and Wiring Devices,3-digit,155490,-
2008,2023-24,All India,Combined,Total Number of Workers,24,Manufacture of Basic Metals,2-digit,1242968,-
2008,2023-24,All India,Combined,Total Number of Workers,25,"Manufacture of Fabricated Metal Products, Except Machinery and Equipment",2-digit,659162,-
2008,2023-24,All India,Combined,No. of Directly Employed  Workers,259,Manufacture of Other Fabricated Metal Products; Metalworking Service Activities,3-digit,284031,-
2008,2023-24,All India,Combined,No. of Directly Employed  Workers,2420,Manufacture of Basic Precious and Other Non-ferrous Metals,4-digit,77813,-
2008,2023-24,All India,Combined,No. of Directly Employed  Workers,242,Manufacture of Basic Precious and Other Non-ferrous Metals,3-digit,77813,-
2008,2023-24,All India,Combined,No. of Directly Employed  Workers,243,Casting of Metals,3-digit,150145,-
2008,2023-24,All India,Combined,No. of Directly Employed  Workers,251,"Manufacture of Structural Metal Products, Tanks, Reservoirs and Steam Generators",3-digit,102619,-
2008,2023-24,All India,Combined,No. of Directly Employed  Workers,273,Manufacture of Wiring and Wiring Devices,3-digit,59528,-
2008,2023-24,All India,Combined,No. of Directly Employed  Workers,303,Manufacture of Air and Spacecraft and Related Machinery,3-digit,16329,-
2008,2023-24,All India,Combined,No. of Directly Employed  Workers,271,"Manufacture of Electric Motors, Generators, Transformers and Electricity Distribution and Control Apparatus",3-digit,110925,-
2008,2023-24,All India,Combined,No. of Directly Employed  Workers,3030,Manufacture of Air and Spacecraft and Related Machinery,4-digit,16329,-
2008,2023-24,All India,Combined,No. of Directly Employed  Workers,2733,Manufacture of Wiring Devices,4-digit,18658,-
2008,2023-24,All India,Combined,No. of Directly Employed  Workers,2732,Manufacture of Other Electronic and Electric Wires and Cables,4-digit,35577,-
2008,2023-24,All India,Combined,No. of Directly Employed  Workers,2710,"Manufacture of Electric Motors, Generators, Transformers and Electricity Distribution and Control Apparatus",4-digit,110925,-
2008,2023-24,All India,Combined,No. of Directly Employed  Workers,2599,Manufacture of Other Fabricated Metal Products N.e.c.,4-digit,178810,-
2008,2023-24,All India,Combined,No. of Directly Employed  Workers,2511,Manufacture of Structural Metal Products,4-digit,63033,-
2008,2023-24,All India,Combined,No. of Directly Employed  Workers,2432,Casting of Non-ferrous Metals,4-digit,17415,-
2008,2023-24,All India,Combined,No. of Directly Employed  Workers,24,Manufacture of Basic Metals,2-digit,573058,-
2008,2023-24,All India,Combined,No. of Directly Employed  Workers,25,"Manufacture of Fabricated Metal Products, Except Machinery and Equipment",2-digit,389738,-
2008,2023-24,All India,Combined,No. of Directly Employed  Workers,27,Manufacture of Electrical Equipment,2-digit,307100,-
2008,2023-24,All India,Combined,No. of Directly Employed  Workers,30,Manufacture of Other Transport Equipment,2-digit,159905,-
2008,2023-24,All India,Combined,No. of Workers employed Through Contractors,2420,Manufacture of Basic Precious and Other Non-ferrous Metals,4-digit,39271,-
2008,2023-24,All India,Combined,No. of Workers employed Through Contractors,2733,Manufacture of Wiring Devices,4-digit,8472,-
2008,2023-24,All India,Combined,No. of Workers employed Through Contractors,2710,"Manufacture of Electric Motors, Generators, Transformers and Electricity Distribution and Control Apparatus",4-digit,75613,-
2008,2023-24,All India,Combined,No. of Workers employed Through Contractors,2599,Manufacture of Other Fabricated Metal Products N.e.c.,4-digit,68511,-
2008,2023-24,All India,Combined,No. of Workers employed Through Contractors,2732,Manufacture of Other Electronic and Electric Wires and Cables,4-digit,20334,-
2008,2023-24,All India,Combined,No. of Workers employed Through Contractors,303,Manufacture of Air and Spacecraft and Related Machinery,3-digit,6763,-
2008,2023-24,All India,Combined,No. of Workers employed Through Contractors,273,Manufacture of Wiring and Wiring Devices,3-digit,95962,-
2008,2023-24,All India,Combined,No. of Workers employed Through Contractors,271,"Manufacture of Electric Motors, Generators, Transformers and Electricity Distribution and Control Apparatus",3-digit,112373,-
2008,2023-24,All India,Combined,No. of Workers employed Through Contractors,25,"Manufacture of Fabricated Metal Products, Except Machinery and Equipment",2-digit,269424,-
2008,2023-24,All India,Combined,No. of Workers employed Through Contractors,259,Manufacture of Other Fabricated Metal Products; Metalworking Service Activities,3-digit,161559,-
2008,2023-24,All India,Combined,No. of Workers employed Through Contractors,27,Manufacture of Electrical Equipment,2-digit,365260,-
2008,2023-24,All India,Combined,No. of Workers employed Through Contractors,2432,Casting of Non-ferrous Metals,4-digit,9941,-
2008,2023-24,All India,Combined,No. of Workers employed Through Contractors,24,Manufacture of Basic Metals,2-digit,669911,-
2008,2023-24,All India,Combined,No. of Workers employed Through Contractors,2511,Manufacture of Structural Metal Products,4-digit,37170,-
2008,2023-24,All India,Combined,No. of Workers employed Through Contractors,242,Manufacture of Basic Precious and Other Non-ferrous Metals,3-digit,79568,-
2008,2023-24,All India,Combined,No. of Workers employed Through Contractors,243,Casting of Metals,3-digit,136433,-
2008,2023-24,All India,Combined,No. of Workers employed Through Contractors,30,Manufacture of Other Transport Equipment,2-digit,173041,-
2008,2023-24,All India,Combined,No. of Workers employed Through Contractors,3030,Manufacture of Air and Spacecraft and Related Machinery,4-digit,13043,-
2008,2023-24,All India,Combined,No. of Workers employed Through Contractors,251,"Manufacture of Structural Metal Products, Tanks, Reservoirs and Steam Generators",3-digit,105409,-
2008,2023-24,All India,Combined,No. of Employees Other Than Workers,25,"Manufacture of Fabricated Metal Products, Except Machinery and Equipment",2-digit,169177,-
2008,2023-24,All India,Combined,No. of Employees Other Than Workers,30,Manufacture of Other Transport Equipment,2-digit,80685,-
2008,2023-24,All India,Combined,No. of Employees Other Than Workers,27,Manufacture of Electrical Equipment,2-digit,179355,-
2008,2023-24,All India,Combined,No. of Employees Other Than Workers,2420,Manufacture of Basic Precious and Other Non-ferrous Metals,4-digit,21969,-
2008,2023-24,All India,Combined,No. of Employees Other Than Workers,2432,Casting of Non-ferrous Metals,4-digit,4673,-
2008,2023-24,All India,Combined,No. of Employees Other Than Workers,2511,Manufacture of Structural Metal Products,4-digit,17854,-
2008,2023-24,All India,Combined,No. of Employees Other Than Workers,2599,Manufacture of Other Fabricated Metal Products N.e.c.,4-digit,31784,-
2008,2023-24,All India,Combined,No. of Employees Other Than Workers,2710,"Manufacture of Electric Motors, Generators, Transformers and Electricity Distribution and Control Apparatus",4-digit,36921,-
2008,2023-24,All India,Combined,No. of Employees Other Than Workers,2732,Manufacture of Other Electronic and Electric Wires and Cables,4-digit,11165,-
2008,2023-24,All India,Combined,No. of Employees Other Than Workers,3030,Manufacture of Air and Spacecraft and Related Machinery,4-digit,7337,-
2008,2023-24,All India,Combined,No. of Employees Other Than Workers,242,Manufacture of Basic Precious and Other Non-ferrous Metals,3-digit,39271,-
2008,2023-24,All India,Combined,No. of Employees Other Than Workers,2733,Manufacture of Wiring Devices,4-digit,3841,-
2008,2023-24,All India,Combined,No. of Employees Other Than Workers,243,Casting of Metals,3-digit,67106,-
2008,2023-24,All India,Combined,No. of Employees Other Than Workers,303,Manufacture of Air and Spacecraft and Related Machinery,3-digit,13043,-
2008,2023-24,All India,Combined,No. of Employees Other Than Workers,273,Manufacture of Wiring and Wiring Devices,3-digit,32583,-
2008,2023-24,All India,Combined,No. of Employees Other Than Workers,271,"Manufacture of Electric Motors, Generators, Transformers and Electricity Distribution and Control Apparatus",3-digit,75613,-
2008,2023-24,All India,Combined,No. of Employees Other Than Workers,259,Manufacture of Other Fabricated Metal Products; Metalworking Service Activities,3-digit,110230,-
2008,2023-24,All India,Combined,No. of Employees Other Than Workers,251,"Manufacture of Structural Metal Products, Tanks, Reservoirs and Steam Generators",3-digit,56340,-
2008,2023-24,All India,Combined,No. of Employees Other Than Workers,24,Manufacture of Basic Metals,2-digit,277714,-
2008,2023-24,All India,Combined,No. of Employees Other Than Workers -Supervisory and Managerial,242,Manufacture of Basic Precious and Other Non-ferrous Metals,3-digit,21969,-
2008,2023-24,All India,Combined,No. of Employees Other Than Workers -Supervisory and Managerial,2432,Casting of Non-ferrous Metals,4-digit,5268,-
2008,2023-24,All India,Combined,No. of Employees Other Than Workers -Supervisory and Managerial,243,Casting of Metals,3-digit,32086,-
